"BANKID"	"BANKNAME"	"BANKALIASNAME"	"BANKCTGYCODE"	"BANKCTGYNAME"	"JOINTYPE"	"AGENTBANKCODE"	"EFFECTIVEDATE"	"STATUS"	"REMARK"
"402391000068"	"福建省农村信用社联合社"	"福建省农村信用社"	"402"	""	"CL00"	""	23-1月 -11	"1"	""
"313391080007"	"福建海峡银行股份有限公司"	"福建海峡银行"	"313"	""	"CL00"	""	23-1月 -11	"1"	""
"104100000004"	"中国银行总行"	"中国银行"	"104"	""	"CL00"	""	03-12月-11	"1"	""
"313521006000"	"湖北银行股份有限公司"	"湖北银行"	"313"	""	"CL00"	""	28-3月 -15	"1"	""
"313655091983"	"自贡市商业银行清算中心"	"自贡市商业银行清算中心"	"313"	""	"CL00"	""	23-4月 -13	"1"	""
"322290000011"	"上海农村商业银行"	"上海农商银行"	"322"	""	"CL00"	""	01-6月 -13	"1"	""
"313617000018"	"桂林银行股份有限公司"	"桂林银行股份有限公司"	"313"	""	"CL00"	""	28-7月 -13	"1"	""
"402100000018"	"北京农村商业银行股份有限公司"	"北京农村商业银行"	"314"	""	"CL00"	""	16-12月-13	"1"	""
"320100010011"	"北京顺义银座村镇银行股份有限公司"	"北京顺义银座村镇银行"	"320"	""	"CL02"	""	19-1月 -14	"0"	""
"320428090311"	"江西赣州银座村镇银行股份有限公司"	"江西赣州银座村镇银行"	"320"	""	"CL02"	""	19-1月 -14	"0"	""
"320584002002"	"深圳福田银座村镇银行股份有限公司"	"深圳福田银座村镇银行"	"320"	""	"CL02"	""	19-1月 -14	"0"	""
"320653000104"	"重庆渝北银座村镇银行股份有限公司"	"重庆渝北银座村镇银行"	"320"	""	"CL02"	""	19-1月 -14	"0"	""
"320687000016"	"重庆黔江银座村镇银行股份有限公司"	"重庆黔江银座村镇银行"	"320"	""	"CL02"	""	19-1月 -14	"0"	""
"402584009991"	"深圳农村商业银行股份有限公司"	"深圳农商行"	"314"	""	"CL00"	""	17-5月 -14	"1"	""
"402651020006"	"四川省农村信用社联合社"	"四川省联社"	"402"	""	"CL00"	""	28-3月 -15	"1"	""
"313168000003"	"晋城银行"	"晋城银行"	"313"	""	"CL00"	""	31-1月 -15	"1"	""
"313673093259"	"南充市商业银行股份有限公司"	"南充市商业银行"	"313"	""	"CL00"	""	31-1月 -15	"1"	""
"313651099999"	"成都银行"	"成都银行"	"313"	""	"CL00"	""	31-1月 -15	"1"	""
"502290000006"	"东亚银行（中国）有限公司"	"东亚银行（中国）有限公司"	"502"	""	"CL00"	""	31-1月 -15	"1"	""
"314302200018"	"江苏江阴农村商业银行股份有限公司"	"江阴农商银行"	"314"	""	"CL00"	""	31-1月 -15	"1"	""
"313491099996"	"中原银行股份有限公司"	"中原银行"	"313"	""	"CL00"	""	28-3月 -15	"1"	""
"402451000010"	"山东省农村信用社联合社"	"山东省农联社"	"402"	""	"CL00"	""	12-5月 -15	"1"	""
"313455000018"	"东营银行股份有限公司"	"东营银行"	"313"	""	"CL00"	""	27-6月 -15	"1"	""
"313495081900"	"平顶山银行股份有限公司"	"平顶山银行"	"313"	""	"CL00"	""	27-6月 -15	"1"	""
"317110010019"	"天津农村商业银行股份有限公司"	"天津农商银行"	"314"	""	"CL00"	""	27-6月 -15	"1"	""
"313148053964"	"衡水银行股份有限公司"	"衡水银行"	"313"	""	"CL00"	""	22-8月 -15	"1"	""
"313501080608"	"焦作市商业银行"	"焦作市商业银行"	"313"	""	"CL00"	""	22-8月 -15	"1"	""
"402521090019"	"武汉农村商业银行股份有限公司"	"武汉农村商业银行"	"314"	""	"CL00"	""	22-8月 -15	"1"	""
"313332090019"	"宁波通商银行股份有限公司"	"宁波通商银行股份有限公司"	"313"	""	"CL00"	""	26-9月 -15	"1"	""
"320455000019"	"东营莱商村镇银行股份有限公司"	"东营莱商村镇银行股份有限公司"	"320"	""	"CL02"	""	26-9月 -15	"1"	""
"402421099990"	"江西省农村信用社联合社"	"农村信用社"	"402"	""	"CL00"	""	24-10月-15	"1"	""
"314651000000"	"成都农商银行"	"成都农村商业银行股份有限公司"	"314"	""	"CL00"	""	31-10月-15	"1"	""
"313338009688"	"金华银行股份有限公司"	"金华银行股份有限公司"	"313"	""	"CL00"	""	31-10月-15	"1"	""
"102100099996"	"中国工商银行"	"中国工商银行"	"102"	""	"CL00"	""	28-8月 -10	"1"	""
"103100000026"	"中国农业银行股份有限公司"	"中国农业银行"	"103"	""	"CL00"	""	28-8月 -10	"1"	""
"313335081005"	"嘉兴银行股份有限公司清算中心(不对外办理业务）"	"嘉兴银行清算中心"	"313"	""	"CL00"	""	17-3月 -13	"1"	""
"402331000007"	"浙江省农村信用社联合社"	"浙江省农村信用社"	"402"	""	"CL00"	""	26-5月 -13	"1"	""
"313146000019"	"廊坊银行"	"廊坊银行"	"313"	""	"CL00"	""	26-5月 -13	"1"	""
"402301099998"	"江苏省农村信用社联合社(不对外)"	"江苏省农村信用社联合社"	"402"	""	"CL00"	""	26-2月 -14	"1"	""
"313312300018"	"江苏长江商业银行"	"江苏长江商行"	"313"	""	"CL00"	""	25-7月 -14	"1"	""
"314305106644"	"太仓农村商业银行"	"太仓农商行"	"314"	""	"CL00"	""	25-7月 -14	"1"	""
"313791000015"	"西安银行股份有限公司"	"西安银行"	"313"	""	"CL00"	""	22-8月 -14	"1"	""
"325290000012"	"上海银行股份有限公司"	"上海银行"	"325"	""	"CL00"	""	19-9月 -15	"1"	""
"105100000017"	"中国建设银行股份有限公司总行"	"中国建设银行"	"105"	""	"CL00"	""	28-8月 -10	"1"	""
"301290000007"	"交通银行"	"交通银行"	"301"	""	"CL00"	""	28-8月 -10	"1"	""
"302100011000"	"中信银行股份有限公司"	"中信银行"	"302"	""	"CL00"	""	28-8月 -10	"1"	""
"303100000006"	"中国光大银行"	"中国光大银行"	"303"	""	"CL00"	""	28-8月 -10	"1"	""
"304100040000"	"华夏银行股份有限公司总行"	"华夏银行"	"304"	""	"CL00"	""	28-8月 -10	"1"	""
